Date,Zip,HomeIndex
8/31/2012,85711,112376
9/30/2012,85711,114123
10/31/2012,85711,115506
11/30/2012,85711,116662
12/31/2012,85711,117598
1/31/2013,85711,118304
2/28/2013,85711,118525
3/31/2013,85711,118563
4/30/2013,85711,119240
5/31/2013,85711,120605
6/30/2013,85711,122138
7/31/2013,85711,123085
8/31/2013,85711,123584
9/30/2013,85711,124313
10/31/2013,85711,125563
11/30/2013,85711,126431
12/31/2013,85711,127398
1/31/2014,85711,128577
2/28/2014,85711,130438
3/31/2014,85711,131337
4/30/2014,85711,131293
5/31/2014,85711,130909
6/30/2014,85711,131183
7/31/2014,85711,131673
8/31/2014,85711,132120
9/30/2014,85711,132227
10/31/2014,85711,132434
11/30/2014,85711,132944
12/31/2014,85711,133109
1/31/2015,85711,133151
2/28/2015,85711,132649
3/31/2015,85711,132752
4/30/2015,85711,133017
5/31/2015,85711,133269
6/30/2015,85711,133659
7/31/2015,85711,133142
8/31/2015,85711,132674
9/30/2015,85711,132623
10/31/2015,85711,132648
11/30/2015,85711,132697
12/31/2015,85711,132705
1/31/2016,85711,133582
2/29/2016,85711,134512
3/31/2016,85711,135298
4/30/2016,85711,135799
5/31/2016,85711,136351
6/30/2016,85711,136495
7/31/2016,85711,137408
8/31/2016,85711,138520
9/30/2016,85711,139538
10/31/2016,85711,140425
11/30/2016,85711,141713
12/31/2016,85711,143048
1/31/2017,85711,144060
2/28/2017,85711,144678
3/31/2017,85711,145759
4/30/2017,85711,146255
5/31/2017,85711,147106
6/30/2017,85711,148153
7/31/2017,85711,149599
8/31/2017,85711,151157
9/30/2017,85711,152573
10/31/2017,85711,153957
11/30/2017,85711,155157
12/31/2017,85711,156398
1/31/2018,85711,157715
2/28/2018,85711,158924
3/31/2018,85711,160136
4/30/2018,85711,161652
5/31/2018,85711,163066
6/30/2018,85711,164014
7/31/2018,85711,164658
8/31/2018,85711,165036
9/30/2018,85711,166078
10/31/2018,85711,166946
11/30/2018,85711,167965
12/31/2018,85711,167872
1/31/2019,85711,168444
2/28/2019,85711,169235
3/31/2019,85711,170086
4/30/2019,85711,170874
5/31/2019,85711,171670
6/30/2019,85711,172841
7/31/2019,85711,174001
8/31/2019,85711,174983
9/30/2019,85711,176479
10/31/2019,85711,177867
11/30/2019,85711,179702
12/31/2019,85711,181685
1/31/2020,85711,182773
2/29/2020,85711,184057
3/31/2020,85711,185415
4/30/2020,85711,188211
5/31/2020,85711,189391
6/30/2020,85711,190451
7/31/2020,85711,191412
8/31/2020,85711,193376
9/30/2020,85711,195410
10/31/2020,85711,198008
11/30/2020,85711,201842
12/31/2020,85711,206388
1/31/2021,85711,210886
2/28/2021,85711,214703
3/31/2021,85711,217486
4/30/2021,85711,220415
5/31/2021,85711,225071
6/30/2021,85711,232925
7/31/2021,85711,240732
8/31/2021,85711,246833
9/30/2021,85711,250642
10/31/2021,85711,252909
11/30/2021,85711,255101
12/31/2021,85711,255818
1/31/2022,85711,259086
2/28/2022,85711,263042
3/31/2022,85711,268134
4/30/2022,85711,272521
5/31/2022,85711,276511
6/30/2022,85711,281348
7/31/2022,85711,282849
1/31/2000,85719,115884
2/29/2000,85719,116217
3/31/2000,85719,116704
4/30/2000,85719,117441
5/31/2000,85719,118163
6/30/2000,85719,118675
7/31/2000,85719,119035
8/31/2000,85719,119416
9/30/2000,85719,119759
10/31/2000,85719,120267
11/30/2000,85719,120714
12/31/2000,85719,121278
1/31/2001,85719,121868
2/28/2001,85719,122627
3/31/2001,85719,122984
4/30/2001,85719,123528
5/31/2001,85719,124143
6/30/2001,85719,125241
7/31/2001,85719,126435
8/31/2001,85719,127592
9/30/2001,85719,128862
10/31/2001,85719,130015
11/30/2001,85719,130797
12/31/2001,85719,131406
1/31/2002,85719,131836
2/28/2002,85719,132456
3/31/2002,85719,133294
4/30/2002,85719,134253
5/31/2002,85719,135254
6/30/2002,85719,136235
7/31/2002,85719,137256
8/31/2002,85719,138436
9/30/2002,85719,139469
10/31/2002,85719,140819
11/30/2002,85719,142007
12/31/2002,85719,143113
1/31/2003,85719,143657
2/28/2003,85719,144361
3/31/2003,85719,145302
4/30/2003,85719,146756
5/31/2003,85719,147758
6/30/2003,85719,148826
7/31/2003,85719,149866
8/31/2003,85719,151523
9/30/2003,85719,152868
10/31/2003,85719,154174
11/30/2003,85719,154661
12/31/2003,85719,155438
1/31/2004,85719,156082
2/29/2004,85719,157501
3/31/2004,85719,158705
4/30/2004,85719,160517
5/31/2004,85719,163094
6/30/2004,85719,166475
7/31/2004,85719,169395
8/31/2004,85719,171789
9/30/2004,85719,174337
10/31/2004,85719,177175
11/30/2004,85719,179892
12/31/2004,85719,182308
1/31/2005,85719,184662
2/28/2005,85719,187826
3/31/2005,85719,191738
4/30/2005,85719,197573
5/31/2005,85719,204338
6/30/2005,85719,211101
7/31/2005,85719,218213
8/31/2005,85719,223026
9/30/2005,85719,227476
10/31/2005,85719,230135
11/30/2005,85719,232294
12/31/2005,85719,233395
1/31/2006,85719,231900
2/28/2006,85719,232712
3/31/2006,85719,235016
4/30/2006,85719,237446
5/31/2006,85719,239175
6/30/2006,85719,239312
7/31/2006,85719,239431
8/31/2006,85719,239588
9/30/2006,85719,239153
10/31/2006,85719,237923
11/30/2006,85719,237756
12/31/2006,85719,237404
1/31/2007,85719,238300
2/28/2007,85719,237556
3/31/2007,85719,238204
4/30/2007,85719,239123
5/31/2007,85719,239062
6/30/2007,85719,237851
7/31/2007,85719,236890
8/31/2007,85719,236191
9/30/2007,85719,234498
10/31/2007,85719,233245
11/30/2007,85719,230969
12/31/2007,85719,230428
1/31/2008,85719,229153
2/29/2008,85719,226597
3/31/2008,85719,223274
4/30/2008,85719,219766
5/31/2008,85719,218920
6/30/2008,85719,216802
7/31/2008,85719,215249
8/31/2008,85719,211826
9/30/2008,85719,210396
10/31/2008,85719,208690
11/30/2008,85719,207840
12/31/2008,85719,206012
1/31/2009,85719,204930
2/28/2009,85719,204160
3/31/2009,85719,202571
4/30/2009,85719,200542
5/31/2009,85719,198511
6/30/2009,85719,196538
7/31/2009,85719,194631
8/31/2009,85719,193021
9/30/2009,85719,192206
10/31/2009,85719,192023
11/30/2009,85719,191342
12/31/2009,85719,191481
1/31/2010,85719,190219
2/28/2010,85719,189252
3/31/2010,85719,188441
4/30/2010,85719,188745
5/31/2010,85719,188198
6/30/2010,85719,186714
7/31/2010,85719,184142
8/31/2010,85719,182471
9/30/2010,85719,180072
10/31/2010,85719,177547
11/30/2010,85719,174940
12/31/2010,85719,173306
1/31/2011,85719,172326
2/28/2011,85719,169989
3/31/2011,85719,167988
4/30/2011,85719,166104
5/31/2011,85719,164936
6/30/2011,85719,163417
7/31/2011,85719,161241
8/31/2011,85719,159820
9/30/2011,85719,157838
10/31/2011,85719,156068
11/30/2011,85719,153638
12/31/2011,85719,151459
1/31/2012,85719,150179
2/29/2012,85719,150340
3/31/2012,85719,151247
4/30/2012,85719,151996
5/31/2012,85719,152162
6/30/2012,85719,152661
7/31/2012,85719,153314
8/31/2012,85719,154582
9/30/2012,85719,156495
10/31/2012,85719,158314
11/30/2012,85719,160166
12/31/2012,85719,161214
1/31/2013,85719,162137
2/28/2013,85719,162295
3/31/2013,85719,162451
4/30/2013,85719,163253
5/31/2013,85719,164503
6/30/2013,85719,166219
7/31/2013,85719,168205
